Province,Project/Device Type,Quantity
KZN,Smart Schools,92
KZN,Coding and Robotics,89
KZN,VR Goggles,644
Mpumalanga,Tablets,80
Mpumalanga,Interactive Screens,1
Limpopo,Laptops,106
Limpopo,Tablets,6360
Limpopo,Smart Interactive Screens,106
Limpopo,Data Projectors,106
Limpopo,Tablet Charging Seats,106

